check_id,check_type,firm_network,fiscal_year_label,status,affected_observation_ids,difference,resolution_or_caveat
qc_0001,service_line_reconciliation,Deloitte,FY2015,pass,obs_del_0006;obs_del_0067;obs_del_0068;obs_del_0069;obs_del_0070;obs_del_0071,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0002,regional_reconciliation,Deloitte,FY2015,pass,obs_del_0006;obs_del_0122;obs_del_0124;obs_del_0123,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0003,service_line_reconciliation,Deloitte,FY2016,pass,obs_del_0007;obs_del_0072;obs_del_0073;obs_del_0074;obs_del_0075;obs_del_0076,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0004,regional_reconciliation,Deloitte,FY2016,pass,obs_del_0007;obs_del_0125;obs_del_0127;obs_del_0126,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0005,service_line_reconciliation,Deloitte,FY2017,pass,obs_del_0008;obs_del_0077;obs_del_0078;obs_del_0079;obs_del_0080;obs_del_0081,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0006,regional_reconciliation,Deloitte,FY2017,pass,obs_del_0008;obs_del_0128;obs_del_0130;obs_del_0129,-1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0007,service_line_reconciliation,Deloitte,FY2018,pass,obs_del_0009;obs_del_0082;obs_del_0083;obs_del_0084;obs_del_0085;obs_del_0086,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0008,regional_reconciliation,Deloitte,FY2018,pass,obs_del_0009;obs_del_0131;obs_del_0133;obs_del_0132,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0009,service_line_reconciliation,Deloitte,FY2019,pass,obs_del_0010;obs_del_0087;obs_del_0088;obs_del_0089;obs_del_0090;obs_del_0091,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0010,regional_reconciliation,Deloitte,FY2019,pass,obs_del_0010;obs_del_0134;obs_del_0136;obs_del_0135,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0011,service_line_reconciliation,Deloitte,FY2020,pass,obs_del_0011;obs_del_0092;obs_del_0093;obs_del_0094;obs_del_0095;obs_del_0096,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0012,regional_reconciliation,Deloitte,FY2020,pass,obs_del_0011;obs_del_0137;obs_del_0139;obs_del_0138,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0013,service_line_reconciliation,Deloitte,FY2021,pass,obs_del_0012;obs_del_0097;obs_del_0098;obs_del_0099;obs_del_0100;obs_del_0101,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0014,regional_reconciliation,Deloitte,FY2021,pass,obs_del_0012;obs_del_0140;obs_del_0142;obs_del_0141,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0015,service_line_reconciliation,Deloitte,FY2022,pass,obs_del_0013;obs_del_0102;obs_del_0103;obs_del_0104;obs_del_0105;obs_del_0106,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0016,regional_reconciliation,Deloitte,FY2022,pass,obs_del_0013;obs_del_0143;obs_del_0145;obs_del_0144,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0017,service_line_reconciliation,Deloitte,FY2023,pass,obs_del_0014;obs_del_0107;obs_del_0108;obs_del_0109;obs_del_0110;obs_del_0111,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0018,regional_reconciliation,Deloitte,FY2023,pass,obs_del_0014;obs_del_0146;obs_del_0148;obs_del_0147,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0019,service_line_reconciliation,Deloitte,FY2024,pass,obs_del_0015;obs_del_0112;obs_del_0114;obs_del_0113,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0020,regional_reconciliation,Deloitte,FY2024,pass,obs_del_0015;obs_del_0149;obs_del_0151;obs_del_0150,2e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0021,service_line_reconciliation,Deloitte,FY2025,pass,obs_del_0016;obs_del_0117;obs_del_0119;obs_del_0118,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0022,regional_reconciliation,Deloitte,FY2025,pass,obs_del_0016;obs_del_0152;obs_del_0154;obs_del_0153,1e+08,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0023,service_line_reconciliation,PwC,FY2015,pass,obs_pwc_0021;obs_pwc_0083;obs_pwc_0082;obs_pwc_0084,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0024,regional_reconciliation,PwC,FY2015,pass,obs_pwc_0021;obs_pwc_0121;obs_pwc_0122;obs_pwc_0123;obs_pwc_0125;obs_pwc_0126;obs_pwc_0127;obs_pwc_0124,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0025,service_line_reconciliation,PwC,FY2016,pass,obs_pwc_0025;obs_pwc_0086;obs_pwc_0085;obs_pwc_0087,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0026,regional_reconciliation,PwC,FY2016,pass,obs_pwc_0025;obs_pwc_0128;obs_pwc_0129;obs_pwc_0130;obs_pwc_0132;obs_pwc_0133;obs_pwc_0134;obs_pwc_0131,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0027,service_line_reconciliation,PwC,FY2017,pass,obs_pwc_0029;obs_pwc_0089;obs_pwc_0088;obs_pwc_0090,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0028,regional_reconciliation,PwC,FY2017,pass,obs_pwc_0029;obs_pwc_0135;obs_pwc_0136;obs_pwc_0137;obs_pwc_0138;obs_pwc_0140;obs_pwc_0139,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0029,service_line_reconciliation,PwC,FY2018,pass,obs_pwc_0065;obs_pwc_0116;obs_pwc_0115;obs_pwc_0117,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0030,regional_reconciliation,PwC,FY2018,pass,obs_pwc_0065;obs_pwc_0174;obs_pwc_0175;obs_pwc_0176;obs_pwc_0177;obs_pwc_0178;obs_pwc_0179,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0031,service_line_reconciliation,PwC,FY2019,pass,obs_pwc_0037;obs_pwc_0095;obs_pwc_0094;obs_pwc_0096,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0032,regional_reconciliation,PwC,FY2019,pass,obs_pwc_0037;obs_pwc_0147;obs_pwc_0148;obs_pwc_0149;obs_pwc_0150;obs_pwc_0151;obs_pwc_0152,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0033,service_line_reconciliation,PwC,FY2020,pass,obs_pwc_0041;obs_pwc_0119;obs_pwc_0118;obs_pwc_0120,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0034,regional_reconciliation,PwC,FY2020,pass,obs_pwc_0041;obs_pwc_0180;obs_pwc_0181;obs_pwc_0182,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0035,service_line_reconciliation,PwC,FY2021,pass,obs_pwc_0045;obs_pwc_0101;obs_pwc_0100;obs_pwc_0102,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0036,regional_reconciliation,PwC,FY2021,pass,obs_pwc_0045;obs_pwc_0159;obs_pwc_0160;obs_pwc_0161,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0037,service_line_reconciliation,PwC,FY2022,pass,obs_pwc_0049;obs_pwc_0104;obs_pwc_0103;obs_pwc_0105,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0038,regional_reconciliation,PwC,FY2022,pass,obs_pwc_0049;obs_pwc_0162;obs_pwc_0163;obs_pwc_0164,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0039,service_line_reconciliation,PwC,FY2023,pass,obs_pwc_0053;obs_pwc_0107;obs_pwc_0106;obs_pwc_0108,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0040,regional_reconciliation,PwC,FY2023,pass,obs_pwc_0053;obs_pwc_0165;obs_pwc_0166;obs_pwc_0167,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0041,service_line_reconciliation,PwC,FY2024,pass,obs_pwc_0057;obs_pwc_0110;obs_pwc_0109;obs_pwc_0111,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0042,regional_reconciliation,PwC,FY2024,pass,obs_pwc_0057;obs_pwc_0168;obs_pwc_0169;obs_pwc_0170,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0043,service_line_reconciliation,PwC,FY2025,pass,obs_pwc_0061;obs_pwc_0112;obs_pwc_0113;obs_pwc_0114,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0044,regional_reconciliation,PwC,FY2025,pass,obs_pwc_0061;obs_pwc_0171;obs_pwc_0173;obs_pwc_0172,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0045,service_line_reconciliation,EY,FY2015,pass,obs_ey_revenue_total_fy15;obs_ey_revenue_service_fy15_consulting;obs_ey_revenue_service_fy15_assurance;obs_ey_revenue_service_fy15_tax;obs_ey_revenue_service_fy15_strategy_and_transactions,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0046,regional_reconciliation,EY,FY2015,pass,obs_ey_revenue_total_fy15;obs_ey_revenue_region_fy15_americas;obs_ey_revenue_region_fy15_asia_pacific;obs_ey_revenue_region_fy15_emeia;obs_ey_revenue_region_fy15_japan,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0047,service_line_reconciliation,EY,FY2016,pass,obs_ey_revenue_total_fy16;obs_ey_revenue_service_fy16_consulting;obs_ey_revenue_service_fy16_assurance;obs_ey_revenue_service_fy16_tax;obs_ey_revenue_service_fy16_strategy_and_transactions,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0048,regional_reconciliation,EY,FY2016,pass,obs_ey_revenue_total_fy16;obs_ey_revenue_region_fy16_americas;obs_ey_revenue_region_fy16_asia_pacific;obs_ey_revenue_region_fy16_emeia;obs_ey_revenue_region_fy16_japan,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0049,service_line_reconciliation,EY,FY2017,pass,obs_ey_revenue_total_fy17;obs_ey_revenue_service_fy17_consulting;obs_ey_revenue_service_fy17_assurance;obs_ey_revenue_service_fy17_tax;obs_ey_revenue_service_fy17_strategy_and_transactions,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0050,regional_reconciliation,EY,FY2017,pass,obs_ey_revenue_total_fy17;obs_ey_revenue_region_fy17_americas;obs_ey_revenue_region_fy17_asia_pacific;obs_ey_revenue_region_fy17_emeia;obs_ey_revenue_region_fy17_japan,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0051,service_line_reconciliation,EY,FY2018,pass,obs_ey_revenue_total_fy18;obs_ey_revenue_service_fy18_consulting;obs_ey_revenue_service_fy18_assurance;obs_ey_revenue_service_fy18_tax;obs_ey_revenue_service_fy18_strategy_and_transactions,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0052,regional_reconciliation,EY,FY2018,pass,obs_ey_revenue_total_fy18;obs_ey_revenue_region_fy18_americas;obs_ey_revenue_region_fy18_asia_pacific;obs_ey_revenue_region_fy18_emeia;obs_ey_revenue_region_fy18_japan,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0053,service_line_reconciliation,EY,FY2019,pass,obs_ey_revenue_total_fy19;obs_ey_revenue_service_fy19_consulting;obs_ey_revenue_service_fy19_assurance;obs_ey_revenue_service_fy19_tax;obs_ey_revenue_service_fy19_strategy_and_transactions,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0054,regional_reconciliation,EY,FY2019,pass,obs_ey_revenue_total_fy19;obs_ey_revenue_region_fy19_americas;obs_ey_revenue_region_fy19_asia_pacific;obs_ey_revenue_region_fy19_emeia;obs_ey_revenue_region_fy19_japan,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0055,service_line_reconciliation,EY,FY2020,pass,obs_ey_revenue_total_fy20;obs_ey_revenue_service_fy20_assurance;obs_ey_revenue_service_fy20_consulting_restated_fy21;obs_ey_revenue_service_fy20_strategy_and_transactions_restated_fy21;obs_ey_revenue_service_fy20_tax,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0056,regional_reconciliation,EY,FY2020,pass,obs_ey_revenue_total_fy20;obs_ey_revenue_region_fy20_americas;obs_ey_revenue_region_fy20_asia_pacific;obs_ey_revenue_region_fy20_emeia,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0057,service_line_reconciliation,EY,FY2021,pass,obs_ey_revenue_total_fy21;obs_ey_revenue_service_fy21_assurance;obs_ey_revenue_service_fy21_consulting;obs_ey_revenue_service_fy21_strategy_and_transactions;obs_ey_revenue_service_fy21_tax,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0058,regional_reconciliation,EY,FY2021,pass,obs_ey_revenue_total_fy21;obs_ey_revenue_region_fy21_americas;obs_ey_revenue_region_fy21_asia_pacific;obs_ey_revenue_region_fy21_emeia,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0059,service_line_reconciliation,EY,FY2022,pass,obs_ey_revenue_total_fy22_restated_fy23;obs_ey_revenue_service_fy22_assurance_restated_fy23;obs_ey_revenue_service_fy22_consulting_restated_fy23;obs_ey_revenue_service_fy22_strategy_and_transactions_restated_fy23;obs_ey_revenue_service_fy22_tax_restated_fy23,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0060,regional_reconciliation,EY,FY2022,pass,obs_ey_revenue_total_fy22_restated_fy23;obs_ey_revenue_region_fy22_americas;obs_ey_revenue_region_fy22_asia_pacific;obs_ey_revenue_region_fy22_emeia_restated_fy23,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0061,service_line_reconciliation,EY,FY2023,pass,obs_ey_revenue_total_fy23;obs_ey_revenue_service_fy23_assurance;obs_ey_revenue_service_fy23_consulting;obs_ey_revenue_service_fy23_strategy_and_transactions;obs_ey_revenue_service_fy23_tax,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0062,regional_reconciliation,EY,FY2023,pass,obs_ey_revenue_total_fy23;obs_ey_revenue_region_fy23_americas;obs_ey_revenue_region_fy23_asia_pacific;obs_ey_revenue_region_fy23_emeia,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0063,service_line_reconciliation,EY,FY2024,pass,obs_ey_revenue_total_fy24;obs_ey_revenue_service_fy24_assurance;obs_ey_revenue_service_fy24_consulting;obs_ey_revenue_service_fy24_strategy_and_transactions;obs_ey_revenue_service_fy24_tax,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0064,regional_reconciliation,EY,FY2024,pass,obs_ey_revenue_total_fy24;obs_ey_revenue_region_fy24_americas;obs_ey_revenue_region_fy24_asia_pacific;obs_ey_revenue_region_fy24_emeia,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0065,service_line_reconciliation,EY,FY2025,pass,obs_ey_revenue_total_fy25;obs_ey_revenue_service_fy25_assurance;obs_ey_revenue_service_fy25_consulting;obs_ey_revenue_service_fy25_strategy_and_transactions;obs_ey_revenue_service_fy25_tax,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0066,regional_reconciliation,EY,FY2025,pass,obs_ey_revenue_total_fy25;obs_ey_revenue_region_fy25_americas;obs_ey_revenue_region_fy25_asia_pacific;obs_ey_revenue_region_fy25_emeia,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0067,service_line_reconciliation,KPMG,FY2015,pass,obs_kpmg_0006;obs_kpmg_0056;obs_kpmg_0054;obs_kpmg_0055,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0068,regional_reconciliation,KPMG,FY2015,pass,obs_kpmg_0006;obs_kpmg_0090;obs_kpmg_0091;obs_kpmg_0092,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0069,service_line_reconciliation,KPMG,FY2016,pass,obs_kpmg_0007;obs_kpmg_0059;obs_kpmg_0057;obs_kpmg_0058,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0070,regional_reconciliation,KPMG,FY2016,pass,obs_kpmg_0007;obs_kpmg_0093;obs_kpmg_0094;obs_kpmg_0095,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0071,service_line_reconciliation,KPMG,FY2017,pass,obs_kpmg_0008;obs_kpmg_0062;obs_kpmg_0060;obs_kpmg_0061,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0072,regional_reconciliation,KPMG,FY2017,pass,obs_kpmg_0008;obs_kpmg_0096;obs_kpmg_0097;obs_kpmg_0098,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0073,service_line_reconciliation,KPMG,FY2018,pass,obs_kpmg_0009;obs_kpmg_0065;obs_kpmg_0063;obs_kpmg_0064,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0074,regional_reconciliation,KPMG,FY2018,pass,obs_kpmg_0009;obs_kpmg_0099;obs_kpmg_0100;obs_kpmg_0101,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0075,service_line_reconciliation,KPMG,FY2019,pass,obs_kpmg_0010;obs_kpmg_0068;obs_kpmg_0066;obs_kpmg_0067,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0076,regional_reconciliation,KPMG,FY2019,pass,obs_kpmg_0010;obs_kpmg_0102;obs_kpmg_0103;obs_kpmg_0104,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0077,service_line_reconciliation,KPMG,FY2020,pass,obs_kpmg_0011;obs_kpmg_0071;obs_kpmg_0069;obs_kpmg_0070,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0078,regional_reconciliation,KPMG,FY2020,pass,obs_kpmg_0011;obs_kpmg_0105;obs_kpmg_0106;obs_kpmg_0107,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0079,service_line_reconciliation,KPMG,FY2021,pass,obs_kpmg_0012;obs_kpmg_0074;obs_kpmg_0072;obs_kpmg_0073,-3.8147e-06,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0080,regional_reconciliation,KPMG,FY2021,pass,obs_kpmg_0012;obs_kpmg_0108;obs_kpmg_0109;obs_kpmg_0110,-3.8147e-06,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0081,service_line_reconciliation,KPMG,FY2022,pass,obs_kpmg_0013;obs_kpmg_0077;obs_kpmg_0075;obs_kpmg_0076,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0082,regional_reconciliation,KPMG,FY2022,pass,obs_kpmg_0013;obs_kpmg_0111;obs_kpmg_0112;obs_kpmg_0113,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0083,service_line_reconciliation,KPMG,FY2023,pass,obs_kpmg_0014;obs_kpmg_0080;obs_kpmg_0078;obs_kpmg_0079,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0084,regional_reconciliation,KPMG,FY2023,pass,obs_kpmg_0014;obs_kpmg_0114;obs_kpmg_0115;obs_kpmg_0116,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0085,service_line_reconciliation,KPMG,FY2024,pass,obs_kpmg_0016;obs_kpmg_0086;obs_kpmg_0084;obs_kpmg_0085,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0086,regional_reconciliation,KPMG,FY2024,pass,obs_kpmg_0016;obs_kpmg_0120;obs_kpmg_0121;obs_kpmg_0122,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0087,service_line_reconciliation,KPMG,FY2025,pass,obs_kpmg_0017;obs_kpmg_0089;obs_kpmg_0087;obs_kpmg_0088,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0088,regional_reconciliation,KPMG,FY2025,pass,obs_kpmg_0017;obs_kpmg_0123;obs_kpmg_0124;obs_kpmg_0125,0,Difference is measured in canonical nominal USD using the internally consistent published taxonomy closest to the total; rounded components may not sum exactly.
qc_0089,source_locator_completeness,All,all,pass,,,"Every reported observation must identify an exact page, table, section, or embedded-data locator."
qc_0090,source_excerpt_completeness,All,all,pass,,,Every reported observation must retain a concise source excerpt sufficient to verify the value.
qc_0091,source_url_presence,All,all,pass,,,Every source-ledger row must provide a direct source URL.
qc_0092,currency_unit_scale_consistency,All,all,pass,,,Global-core revenue rows retain source-scale values and normalize canonical currency values to full nominal US dollars.
qc_0093,fiscal_year_label_date_consistency,All,all,pass,,,"FY labels were checked against each network's verified reporting calendar: Deloitte June-May, PwC and EY July-June, and KPMG October-September."
qc_0094,global_vs_member_firm_scope,All,all,pass,,,The initial tranche is global-network-only. Any member-firm observation must be moved to the national-firm module.
qc_0095,people_employee_fte_definition_conflicts,All,all,warning,obs_del_0050;obs_del_0051;obs_del_0052;obs_del_0053;obs_del_0054;obs_del_0055;obs_del_0056;obs_del_0057;obs_del_0058;obs_del_0059;obs_del_0060;obs_del_0061;obs_del_0062;obs_del_0063;obs_del_0066;obs_del_0064;obs_del_0065;obs_pwc_0066;obs_pwc_0067;obs_pwc_0068;obs_pwc_0069;obs_pwc_0070;obs_pwc_0071;obs_pwc_0072;obs_pwc_0073;obs_pwc_0074;obs_pwc_0075;obs_pwc_0076;obs_pwc_0077;obs_pwc_0078;obs_pwc_0079;obs_pwc_0080;obs_pwc_0081;obs_ey_people_total_fy10;obs_ey_people_total_fy11;obs_ey_people_total_fy12;obs_ey_people_total_fy13;obs_ey_people_total_fy14;obs_ey_people_total_fy15;obs_ey_people_total_fy16;obs_ey_people_total_fy17;obs_ey_people_total_fy18;obs_ey_people_total_fy19;obs_ey_people_total_fy20;obs_ey_people_total_fy21;obs_ey_people_total_fy22;obs_ey_people_total_fy23;obs_ey_people_total_fy24_original;obs_ey_people_total_fy24_updated_fy25;obs_ey_people_total_fy25;obs_kpmg_0038;obs_kpmg_0039;obs_kpmg_0040;obs_kpmg_0041;obs_kpmg_0042;obs_kpmg_0043;obs_kpmg_0044;obs_kpmg_0045;obs_kpmg_0046;obs_kpmg_0047;obs_kpmg_0048;obs_kpmg_0049;obs_kpmg_0050;obs_kpmg_0051;obs_kpmg_0052;obs_kpmg_0053,,"Average FTE, period-end headcount, rounded people, and lower-bound disclosures remain separate; do not chart them as one seamless series without a visible timing flag."
qc_0096,revised_historical_value_lineage,All,all,pass,,,Every explicit revision must identify the superseded observation or document why one-to-one lineage is impossible.
qc_0097,non_one_to_one_revision_caveats,All,all,warning,obs_del_0112;obs_del_0114;obs_del_0115;obs_del_0113;obs_del_0116;obs_pwc_0181;obs_pwc_0182,,These restatements or reclassifications cannot map one-to-one to an older row; their source locator and researcher notes preserve the caveat.
qc_0098,calculated_observation_input_lineage,All,all,pass,,,Calculated rows require an explicit transformation; observation-ID lineage is additionally required when the inputs are other observations rather than a directly cited source table.
qc_0099,source_grade_completeness,All,all,pass,,,Every source must carry an A-E source grade.
qc_0100,observation_score_completeness,All,all,pass,,,Every observation must carry 1-5 comparability and confidence scores.
qc_0101,observation_score_range,All,all,pass,,,Comparability and confidence scores must be integers from 1 through 5.
